"KRAJ","ORP","BLOK","HLASYPROC"
"Karlovarský","Aš","",38.25
"Středočeský","Benešov","",5.7
"Středočeský","Beroun","",6.71
"Ústecký","Bílina","",9.08
"Moravskoslezský","Bílovec","",3.32
"Jihomoravský","Blansko","",9.5
"Jihočeský","Blatná","",5.33
"Plzeňský","Blovice","",3.7
"Moravskoslezský","Bohumín","",2.68
"Jihomoravský","Boskovice","",7.66
"Středočeský","Brandýs nad Labem-Stará Boleslav","",5.09
"Jihomoravský","Brno","",9.43
"Královéhradecký","Broumov","",2.25
"Moravskoslezský","Bruntál","",2.61
"Jihomoravský","Břeclav","",10.08
"Jihomoravský","Bučovice","",6.17
"Vysočina","Bystřice nad Pernštejnem","",4.49
"Zlínský","Bystřice pod Hostýnem","",8.58
"Středočeský","Čáslav","",4.96
"Středočeský","Černošice","",5.87
"Liberecký","Česká Lípa","",7.17
"Pardubický","Česká Třebová","",1.54
"Jihočeský","České Budějovice","",5.67
"Středočeský","Český Brod","",6.63
"Jihočeský","Český Krumlov","",6.27
"Moravskoslezský","Český Těšín","",3.41
"Jihočeský","Dačice","",5.42
"Ústecký","Děčín","",6.34
"Královéhradecký","Dobruška","",2.74
"Středočeský","Dobříš","",5.25
"Plzeňský","Domažlice","",4.37
"Královéhradecký","Dvůr Králové nad Labem","",3.06
"Moravskoslezský","Frenštát pod Radhoštěm","",3.19
"Moravskoslezský","Frýdek-Místek","",4.8
"Liberecký","Frýdlant","",8.13
"Moravskoslezský","Frýdlant nad Ostravicí","",4.8
"Moravskoslezský","Havířov","",3.72
"Vysočina","Havlíčkův Brod","",4.55
"Pardubický","Hlinsko","",0.87
"Moravskoslezský","Hlučín","",2.4
"Jihomoravský","Hodonín","",5.76
"Zlínský","Holešov","",6.1
"Pardubický","Holice","",1.99
"Plzeňský","Horažďovice","",4.19
"Plzeňský","Horšovský Týn","",5.53
"Královéhradecký","Hořice","",4.07
"Středočeský","Hořovice","",7.23
"Královéhradecký","Hradec Králové","",4.29
"Olomoucký","Hranice","",4.74
"Vysočina","Humpolec","",4.79
"Jihomoravský","Hustopeče","",13.2
"Karlovarský","Cheb","",15.88
"Ústecký","Chomutov","",14.56
"Vysočina","Chotěboř","",3
"Pardubický","Chrudim","",1.58
"Jihomoravský","Ivančice","",8.77
"Liberecký","Jablonec nad Nisou","",9.97
"Moravskoslezský","Jablunkov","",3.06
"Královéhradecký","Jaroměř","",5.35
"Olomoucký","Jeseník","",2.43
"Královéhradecký","Jičín","",3.11
"Vysočina","Jihlava","",4.86
"Liberecký","Jilemnice","",6.9
"Jihočeský","Jindřichův Hradec","",8.22
"Ústecký","Kadaň","",5.77
"Jihočeský","Kaplice","",5.04
"Karlovarský","Karlovy Vary","",20.57
"Moravskoslezský","Karviná","",3.56
"Středočeský","Kladno","",6.96
"Plzeňský","Klatovy","",5.08
"Středočeský","Kolín","",5.31
"Olomoucký","Konice","",7.86
"Moravskoslezský","Kopřivnice","",5.32
"Královéhradecký","Kostelec nad Orlicí","",2.78
"Pardubický","Králíky","",1.07
"Plzeňský","Kralovice","",4.45
"Středočeský","Kralupy nad Vltavou","",5.34
"Karlovarský","Kraslice","",37.24
"Moravskoslezský","Kravaře","",2.69
"Moravskoslezský","Krnov","",2.25
"Zlínský","Kroměříž","",5.79
"Jihomoravský","Kuřim","",6.6
"Středočeský","Kutná Hora","",5.14
"Jihomoravský","Kyjov","",6.19
"Pardubický","Lanškroun","",1.23
"Liberecký","Liberec","",11.02
"Olomoucký","Lipník nad Bečvou","",4.9
"Ústecký","Litoměřice","",9.43
"Pardubický","Litomyšl","",1.18
"Olomoucký","Litovel","",5.69
